"","Date","Open","High","Low","Close","Adj.Close","Volume"
"7726","2021-02-01",133.75,135.380005,130.929993,134.139999,132.163956,106239800
"7727","2021-02-02",135.729996,136.309998,134.610001,134.990005,133.00145,83305400
"7728","2021-02-03",135.759995,135.770004,133.610001,133.940002,131.966888,89880900
"7729","2021-02-04",136.300003,137.399994,134.589996,137.389999,135.366074,84183100
"7730","2021-02-05",137.350006,137.419998,135.860001,136.759995,134.946701,75693800
"7731","2021-02-08",136.029999,136.960007,134.919998,136.910004,135.094727,71297200
"7732","2021-02-09",136.619995,137.880005,135.850006,136.009995,134.20665,76774200
"7733","2021-02-10",136.479996,136.990005,134.399994,135.389999,133.594879,73046600
"7734","2021-02-11",135.899994,136.389999,133.770004,135.130005,133.338348,64280000
"7735","2021-02-12",134.350006,135.529999,133.690002,135.369995,133.57515,60145100
"7736","2021-02-16",135.490005,136.009995,132.789993,133.190002,131.424057,80576300
"7737","2021-02-17",131.25,132.220001,129.470001,130.839996,129.105179,97918500
"7738","2021-02-18",129.199997,130,127.410004,129.710007,127.990196,96856700
"7739","2021-02-19",130.240005,130.710007,128.800003,129.869995,128.148071,87668800
"7740","2021-02-22",128.009995,129.720001,125.599998,126,124.329376,103916400
"7741","2021-02-23",123.760002,126.709999,118.389999,125.860001,124.191238,158273000
"7742","2021-02-24",124.940002,125.559998,122.230003,125.349998,123.687996,111039900
"7743","2021-02-25",124.68,126.459999,120.540001,120.989998,119.385818,148199500
"7744","2021-02-26",122.589996,124.849998,121.199997,121.260002,119.652229,164560400
"7745","2021-03-01",123.75,127.93,122.790001,127.790001,126.09565,116307900
"7746","2021-03-02",128.410004,128.720001,125.010002,125.120003,123.461044,102260900
"7747","2021-03-03",124.809998,125.709999,121.839996,122.059998,120.441612,112966300
"7748","2021-03-04",121.75,123.599998,118.620003,120.129997,118.537209,178155000
"7749","2021-03-05",120.980003,121.940002,117.57,121.419998,119.810104,153766600
"7750","2021-03-08",120.93,121,116.209999,116.360001,114.817192,154376600
"7751","2021-03-09",119.029999,122.059998,118.790001,121.089996,119.484482,129525800
"7752","2021-03-10",121.690002,122.169998,119.449997,119.980003,118.389198,111943300
"7753","2021-03-11",122.540001,123.209999,121.260002,121.959999,120.342941,103026500
"7754","2021-03-12",120.400002,121.169998,119.160004,121.029999,119.425278,88105100
"7755","2021-03-15",121.410004,124,120.419998,123.989998,122.346024,92403800
"7756","2021-03-16",125.699997,127.220001,124.720001,125.57,123.905075,115227900
"7757","2021-03-17",124.050003,125.860001,122.339996,124.760002,123.10582,111932600
"7758","2021-03-18",122.879997,123.18,120.32,120.529999,118.931915,121229700
"7759","2021-03-19",119.900002,121.43,119.68,119.989998,118.399071,185549500
"7760","2021-03-22",120.330002,123.870003,120.260002,123.389999,121.753998,111912300
"7761","2021-03-23",123.330002,124.239998,122.139999,122.540001,120.91526,95467100
"7762","2021-03-24",122.82,122.900002,120.07,120.089996,118.497734,88530500
"7763","2021-03-25",119.540001,121.660004,119,120.589996,118.991096,98844700
"7764","2021-03-26",120.349998,121.480003,118.919998,121.209999,119.602882,94071200
"7765","2021-03-29",121.650002,122.580002,120.730003,121.389999,119.78051,80819200
"7766","2021-03-30",120.110001,120.400002,118.860001,119.900002,118.310249,85671900
"7767","2021-03-31",121.650002,123.519997,121.150002,122.150002,120.530426,118323800
"7768","2021-04-01",123.660004,124.18,122.489998,123,121.369156,75089100
"7769","2021-04-05",123.870003,126.160004,123.07,125.900002,124.230705,88651200
"7770","2021-04-06",126.5,127.129997,125.650002,126.209999,124.536591,80171300
"7771","2021-04-07",125.830002,127.919998,125.139999,127.900002,126.204185,83466700
"7772","2021-04-08",128.949997,130.389999,128.520004,130.360001,128.631577,88844600
"7773","2021-04-09",129.800003,133.039993,129.470001,133,131.236572,106686700
"7774","2021-04-12",132.520004,132.850006,130.630005,131.240005,129.499893,91420000
"7775","2021-04-13",132.440002,134.660004,131.929993,134.429993,132.647614,91266500
"7776","2021-04-14",134.940002,135,131.660004,132.029999,130.279419,87222800
"7777","2021-04-15",133.820007,135,133.639999,134.5,132.716675,89347100
"7778","2021-04-16",134.300003,134.669998,133.279999,134.160004,132.381195,84922400
"7779","2021-04-19",133.509995,135.470001,133.339996,134.839996,133.052155,94264200
"7780","2021-04-20",135.020004,135.529999,131.809998,133.110001,131.345123,94812300
"7781","2021-04-21",132.360001,133.75,131.300003,133.5,131.729965,68847100
"7782","2021-04-22",133.039993,134.149994,131.410004,131.940002,130.190628,84566500
"7783","2021-04-23",132.160004,135.119995,132.160004,134.320007,132.539093,78657500
"7784","2021-04-26",134.830002,135.059998,133.559998,134.720001,132.933762,66905100
"7785","2021-04-27",135.009995,135.410004,134.110001,134.389999,132.608139,66015800
"7786","2021-04-28",134.309998,135.020004,133.080002,133.580002,131.808884,107760100
"7787","2021-04-29",136.470001,137.070007,132.449997,133.479996,131.71019,151101000
"7788","2021-04-30",131.779999,133.559998,131.070007,131.460007,129.71701,109839500
"7789","2021-05-03",132.039993,134.070007,131.830002,132.539993,130.782654,75135100
"7790","2021-05-04",131.190002,131.490005,126.699997,127.849998,126.154846,137564700
"7791","2021-05-05",129.199997,130.449997,127.970001,128.100006,126.401535,84000900
"7792","2021-05-06",127.889999,129.75,127.129997,129.740005,128.019791,78128300
"7793","2021-05-07",130.850006,131.259995,129.479996,130.210007,128.701813,78973300
"7794","2021-05-10",129.410004,129.539993,126.809998,126.849998,125.380714,88071200
"7795","2021-05-11",123.5,126.269997,122.769997,125.910004,124.451607,126142800
"7796","2021-05-12",123.400002,124.639999,122.25,122.769997,121.347961,112172300
"7797","2021-05-13",124.580002,126.150002,124.260002,124.970001,123.522507,105861300
"7798","2021-05-14",126.25,127.889999,125.849998,127.449997,125.97377,81918000
"7799","2021-05-17",126.82,126.93,125.169998,126.269997,124.807426,74244600
"7800","2021-05-18",126.559998,126.989998,124.779999,124.849998,123.403877,63342900
"7801","2021-05-19",123.160004,124.919998,122.860001,124.690002,123.245735,92612000
"7802","2021-05-20",125.230003,127.720001,125.099998,127.309998,125.835388,76857100
"7803","2021-05-21",127.82,128,125.209999,125.43,123.977173,79295400
"7804","2021-05-24",126.010002,127.940002,125.940002,127.099998,125.627823,63092900
"7805","2021-05-25",127.82,128.320007,126.32,126.900002,125.430153,72009500
"7806","2021-05-26",126.959999,127.389999,126.419998,126.849998,125.380714,56575900
"7807","2021-05-27",126.440002,127.639999,125.080002,125.279999,123.828896,94625600
"7808","2021-05-28",125.57,125.800003,124.550003,124.610001,123.166664,71311100
"7809","2021-06-01",125.080002,125.349998,123.940002,124.279999,122.840492,67637100
"7810","2021-06-02",124.279999,125.239998,124.050003,125.059998,123.61145,59278900
"7811","2021-06-03",124.68,124.849998,123.129997,123.540001,122.109047,76229200
"7812","2021-06-04",124.07,126.160004,123.849998,125.889999,124.431831,75169300
"7813","2021-06-07",126.169998,126.32,124.830002,125.900002,124.441727,71057600
"7814","2021-06-08",126.599998,128.460007,126.209999,126.739998,125.27198,74403800
"7815","2021-06-09",127.209999,127.75,126.519997,127.129997,125.657471,56877900
"7816","2021-06-10",127.019997,128.190002,125.940002,126.110001,124.649292,71186400
"7817","2021-06-11",126.529999,127.440002,126.099998,127.349998,125.874939,53522400
"7818","2021-06-14",127.82,130.539993,127.07,130.479996,128.968674,96906500
"7819","2021-06-15",129.940002,130.600006,129.389999,129.639999,128.138397,62746300
"7820","2021-06-16",130.369995,130.889999,128.460007,130.149994,128.642487,91815000
"7821","2021-06-17",129.800003,132.550003,129.649994,131.789993,130.263489,96721700
"7822","2021-06-18",130.710007,131.509995,130.240005,130.460007,128.948898,108953300
"7823","2021-06-21",130.300003,132.410004,129.210007,132.300003,130.767609,79663300
"7824","2021-06-22",132.130005,134.080002,131.619995,133.979996,132.428131,74783600
"7825","2021-06-23",133.770004,134.320007,133.229996,133.699997,132.151352,60214200
"7826","2021-06-24",134.449997,134.639999,132.929993,133.410004,131.864731,68711000
"7827","2021-06-25",133.460007,133.889999,132.809998,133.110001,131.568222,70783700
"7828","2021-06-28",133.410004,135.25,133.350006,134.779999,133.218857,62111300
"7829","2021-06-29",134.800003,136.490005,134.350006,136.330002,134.7509,64556100
"7830","2021-06-30",136.169998,137.410004,135.869995,136.960007,135.373627,63261400
"7831","2021-07-01",136.600006,137.330002,135.759995,137.270004,135.680038,52485800
"7832","2021-07-02",137.899994,140,137.75,139.960007,138.338867,78852600
"7833","2021-07-06",140.070007,143.149994,140.070007,142.020004,140.375,108181800
"7834","2021-07-07",143.539993,144.889999,142.660004,144.570007,142.895477,104911600
"7835","2021-07-08",141.580002,144.059998,140.669998,143.240005,141.580872,105575500
"7836","2021-07-09",142.75,145.649994,142.649994,145.110001,143.429199,99890800
"7837","2021-07-12",146.210007,146.320007,144,144.5,142.826279,76299700
"7838","2021-07-13",144.029999,147.460007,143.630005,145.639999,143.953079,100827100
"7839","2021-07-14",148.100006,149.570007,147.679993,149.149994,147.422424,127050800
"7840","2021-07-15",149.240005,150,147.089996,148.479996,146.760178,106820300
"7841","2021-07-16",148.460007,149.759995,145.880005,146.389999,144.694382,93251400
"7842","2021-07-19",143.75,144.070007,141.669998,142.449997,140.800049,121434600
"7843","2021-07-20",143.460007,147.100006,142.960007,146.149994,144.457169,96350000
"7844","2021-07-21",145.529999,146.130005,144.630005,145.399994,143.715836,74993500
"7845","2021-07-22",145.940002,148.199997,145.809998,146.800003,145.09964,77338200
"7846","2021-07-23",147.550003,148.720001,146.919998,148.559998,146.839233,71447400
"7847","2021-07-26",148.270004,149.830002,147.699997,148.990005,147.264267,72434100
"7848","2021-07-27",149.119995,149.210007,145.550003,146.770004,145.069992,104818600
"7849","2021-07-28",144.809998,146.970001,142.539993,144.979996,143.30072,118931200
"7850","2021-07-29",144.690002,146.550003,144.580002,145.639999,143.953079,56699500
"7851","2021-07-30",144.380005,146.330002,144.110001,145.860001,144.170532,70440600
"7852","2021-08-02",146.360001,146.949997,145.25,145.520004,143.834473,62880000
"7853","2021-08-03",145.809998,148.039993,145.179993,147.360001,145.653152,64786600
"7854","2021-08-04",147.270004,147.789993,146.279999,146.949997,145.24791,56368300
"7855","2021-08-05",146.979996,147.839996,146.169998,147.059998,145.356613,46397700
"7856","2021-08-06",146.350006,147.110001,145.630005,146.139999,144.663696,54126800
"7857","2021-08-09",146.199997,146.699997,145.520004,146.089996,144.614197,48908700
"7858","2021-08-10",146.440002,147.710007,145.300003,145.600006,144.12915,69023100
"7859","2021-08-11",146.050003,146.720001,145.529999,145.860001,144.386536,48493500
"7860","2021-08-12",146.190002,149.050003,145.839996,148.889999,147.385925,72282600
